MAKE_MODEL_CODE,MODEL_DESC,A,B,D,E,MODEL_DESC_DETAIL,ACOR_TOTAL
JWRA,JEEPWRAN,1,1,0,0,JEEPWRAN,306
VWJE,VOLKJETT,0,0,0,0,VOLKJETT,722
CHCZ,CHEVCRUZ,0,0,0,1,CHEVCRUZ,889
BREG,BUICREGL,0,0,1,0,BUICREGL,1362
XJCH,JEEPGRCH,1,0,1,1,JEEPGRCH,665
XCIM,CHEVIMPA,0,0,0,1,CHEVIMPA,2614
HYEL,HYUNELAN,1,1,0,1,HYUNELAN,294
CHIP,CHEVIMPL,0,1,0,0,CHEVIMPL,4778
HYEL,HYUNELAN,1,0,0,0,HYUNELAN,3716
KIRO,KIA RIO,0,1,0,0,KIA RIO,871
CCAT,CHEVCAPT,1,1,1,0,CHEVCAPT,997
XHES,HYUNELAN,0,0,1,1,HYUNELAN,511
HYEL,HYUNELAN,0,0,1,0,HYUNELAN,474
FEXP,FORDEXPL,0,1,0,1,FORDEXPL,644
CTWN,CHRYTOWN,0,0,0,0,CHRYTOWN,2078
VG2F,VOLKGOLF,0,0,0,1,VOLKGOLF,2236
XDGC,DODGGRCA,0,0,0,1,DODGGRCA,12895
KISN,KIA SORE,1,1,0,1,KIA SORE,2343
XHGE,HYUNGENE,1,0,0,1,HYUNGENE,508
CMP2,JEEPCMP2,1,1,0,0,JEEPCMP2,1649
FMSN,FORDMUST,1,1,0,1,FORDMUST,494
BMWX,BMW X1AW,1,1,1,0,BMW X1AW,740
FTA2,FORDTAU2,1,1,1,1,FORDTAU2,827
HYSL,HYUNSONA,1,0,1,1,HYUNSONA,1088
SUIW,SUBAIMPW,1,1,1,1,SUBAIMPW,1028
KCAD,KIA CADE,0,1,1,1,KIA CADE,638
CHCZ,CHEVCRUZ,1,0,1,1,CHEVCRUZ,1225
DOGC,DODGGRCA,0,1,1,1,DODGGRCA,13927
HYEL,HYUNELAN,1,1,1,1,HYUNELAN,296
CMP2,JEEPCMP2,1,0,0,1,JEEPCMP2,3174
FOFN,FORDFUSI,0,0,0,0,FORDFUSI,200
TSIE,TOYOSIEN,0,1,1,1,TOYOSIEN,1302
KS72,KIA SO7F,0,0,1,0,KIA SO7F,339
CCAT,CHEVCAPT,0,1,1,0,CHEVCAPT,387
CMRY,TOYOCAMR,0,1,0,1,TOYOCAMR,852
CHIM,CHEVIMPA,0,1,0,0,CHEVIMPA,2348
CHIM,CHEVIMPA,0,1,1,0,CHEVIMPA,1231
CCAT,CHEVCAPT,0,0,1,1,CHEVCAPT,49
CX5F,MAZDCX5F,0,1,1,1,MAZDCX5F,1383
VWJE,VOLKJETT,1,1,0,1,VOLKJETT,574
GMT2,GMC TER2,1,0,1,0,GMC TER2,332
HYEL,HYUNELAN,0,1,0,0,HYUNELAN,196
FOFN,FORDFUSI,1,1,1,0,FORDFUSI,389
GMTE,GMC TERR,1,1,0,0,GMC TERR,1062
DOCH,DODGCHAR,1,1,0,1,DODGCHAR,2249
NIVH,NISSVRHA,1,1,0,1,NISSVRHA,572
CCAT,CHEVCAPT,0,1,0,1,CHEVCAPT,243
FTRW,FORDTRAW,0,1,1,0,FORDTRAW,313
JEP2,JEEPPAT2,1,0,1,1,JEEPPAT2,315
CHIM,CHEVIMPA,0,0,1,0,CHEVIMPA,2961
CCAT,CHEVCAPT,0,0,0,0,CHEVCAPT,25265
KIOP,KIA OPTI,0,0,1,1,KIA OPTI,2869
CHIP,CHEVIMPL,0,1,1,0,CHEVIMPL,48
F156,FORDF152,1,1,1,0,FORDF152,595
NIAL,NISSALTI,1,0,1,0,NISSALTI,615
NIAL,NISSALTI,1,1,0,1,NISSALTI,3182
V60F,VOLVV60F,0,0,1,1,VOLVV60F,2338
KIFO,KIA FORT,1,0,1,0,KIA FORT,3148
KISL,KIA SOUL,0,0,1,1,KIA SOUL,617
HYAK,HYUNACCE,0,1,1,1,HYUNACCE,460
TO42,TOYO4RU2,1,0,1,0,TOYO4RU2,1680
DOGC,DODGGRCA,1,0,1,0,DODGGRCA,684
HYSL,HYUNSONA,0,1,0,1,HYUNSONA,1116
KIOP,KIA OPTIMA,0,1,0,1,KIA OPTIMA,1028
CHS4,CHEVSON4,0,1,0,1,CHEVSON4,579
BREG,BUICREGL,0,1,1,1,BUICREGL,1298
FFET,FORDFIES,1,0,0,0,FORDFIES,6939
NIVH,NISSVRHA,0,0,0,1,NISSVRHA,1531
VWJE,VOLKJETT,0,0,1,0,VOLKJETT,559
CTWN,CHRYTOWN,0,1,0,1,CHRYTOWN,1015
HYEL,HYUNELAN,0,1,1,1,HYUNELAN,3436
FTA2,FORDTAU2,1,1,0,0,FORDTAU2,2151
HYEL,HYUNDAI ELANTRA SEDAN 4DR,0,0,1,0,HYUNDAI ELANTRA SEDAN 4DR,7508
TOYB,TOYOCRLA,0,1,0,0,TOYOCRLA,1548
CTWN,CHRYTOWN,0,1,1,0,CHRYTOWN,364
KS72,KIA SORENTO FWD 7 PASS,1,0,1,0,KIA SORENTO FWD 7 PASS,747
CTWN,CHRYTOWN,0,1,1,1,CHRYTOWN,710
BMWX,BMW X1AW,0,1,1,0,BMW X1AW,1842
CHIP,CHEVROLET IMPALA,0,0,1,1,CHEVROLET IMPALA,357
CHIM,CHEVIMPA,0,0,1,0,CHEVIMPA,576
CHIP,CHEVIMPL,0,1,1,1,CHEVIMPL,0
,MAZD6SED,1,1,0,0,MAZD6SED,861
CCAT,CHEVCAPT,0,1,1,1,CHEVCAPT,192
BUE4,BUICENC4,1,0,0,0,BUICENC4,453
CCAT,CHEVCAPT,0,0,0,0,CHEVCAPT,1097
BMWX,BMW X1 AWD,0,0,0,1,BMW X1 AWD,1179
HYEL,HYUNELAN,0,0,1,0,HYUNELAN,1358
KCAD,KIA CADE,0,1,1,1,KIA CADE,238
HYEL,HYUNDAI ELANTRA SEDAN 4DR,0,0,1,0,HYUNDAI ELANTRA SEDAN 4DR,925
DOGC,DODGGRCA,0,1,1,1,DODGGRCA,590
LIMZ,LINC MKZ,0,0,0,1,LINC MKZ,2546
CHIM,CHEVIMPA,1,1,1,1,CHEVIMPA,426
CH2S,CHRY200S,1,1,0,0,CHRY200S,721
FOFN,FORDFUSI,1,1,1,1,FORDFUSI,580
CHCZ,CHEVCRUZ,0,0,0,0,CHEVCRUZ,11064
CCAT,CHEVROLET CAPTIVA,1,0,1,1,CHEVROLET CAPTIVA,1397
KIFO,KIA FORT,0,0,1,1,KIA FORT,128
DOGC,DODGGRCA,0,0,1,1,DODGGRCA,353
JWRA,JEEPWRAN,0,0,1,1,JEEPWRAN,850
KIFO,KIA FORT,1,0,1,1,KIA FORT,2503
FTRW,FORDTRAW,1,1,1,0,FORDTRAW,1146
CSU2,CHEVSUB2,0,1,1,1,CHEVSUB2,1457
FMSN,FORDMUST,1,0,0,0,FORDMUST,738
NIAL,NISSALTI,0,1,1,1,NISSALTI,1911
TOPH,TOYOPRIH,1,1,1,0,TOYOPRIH,303
KISL,KIA SOUL,1,0,0,1,KIA SOUL,128
CHIM,CHEVIMPA,0,1,0,1,CHEVIMPA,2054
NIVH,NISSVRHA,1,0,1,0,NISSVRHA,605
CMRY,TOYOCAMR,0,1,0,0,TOYOCAMR,1462
DOD2,DODGDUR2,1,1,0,0,DODGDUR2,670
TOPH,TOYOPRIH,0,1,0,0,TOYOPRIH,343
FTA2,FORDTAU2,1,0,0,1,FORDTAU2,778
CHIM,CHEVIMPA,1,1,0,1,CHEVIMPA,178
NIF2,NISSFRO2,1,1,1,0,NISSFRO2,357
NIVH,NISSVRHA,1,1,0,0,NISSVRHA,369
CHIM,CHEVIMPA,1,0,0,1,CHEVIMPA,78
HYAZ,HYUNAZER,0,1,0,0,HYUNAZER,830
TOYB,TOYOCRLA,1,0,1,0,TOYOCRLA,178
