MAKE_MODEL_CODE,MODEL_DESC,A,B,D,E,MODEL_DESC_DETAIL,ACOR_TOTAL
DOGC,DODGGRCA,0,0,1,1,DODGGRCA,981
MIMI,MITSMIRA,0,0,0,0,MITSMIRA,3933
FOFN,FORDFUSI,0,1,1,0,FORDFUSI,158
HYSL,HYUNSONA,1,1,1,0,HYUNSONA,435
FTRW,FORDTRAW,0,1,1,1,FORDTRAW,1853
JEPA,JEEPPATR,0,0,1,0,JEEPPATR,1906
FTRW,FORDTRAW,0,1,1,0,FORDTRAW,1471
HYSL,HYUNDAI SONATA  4DR/5PSGR,0,1,1,1,HYUNDAI SONATA  4DR/5PSGR,153
KS72,KIA SO7F,0,0,1,0,KIA SO7F,660
KIFO,KIA FORT,0,1,0,1,KIA FORT,517
FTRW,FORDTRAW,1,0,0,0,FORDTRAW,2674
FTA2,FORDTAU2,1,1,1,0,FORDTAU2,124
CHE2,CHEVROLET EQUINOX 2WD,0,1,1,0,CHEVROLET EQUINOX 2WD,2360
HYVL,HYUNVELO,1,1,0,1,HYUNVELO,347
NPA2,NISSPAT2,0,1,0,1,NISSPAT2,535
FOXL,FORDEXL4,0,1,0,1,FORDEXL4,2982
FTRW,FORDTRAW,0,1,1,0,FORDTRAW,9840
HYAZ,HYUNAZER,1,0,1,0,HYUNAZER,382
CMRY,TOYOCAMR,1,1,1,0,TOYOCAMR,409
HYAK,HYUNACCE,0,0,0,0,HYUNACCE,692
HYSL,HYUNDAI SONATA  4DR/5PSGR,0,1,0,0,HYUNDAI SONATA  4DR/5PSGR,2680
HYAK,HYUNACCE,1,0,1,1,HYUNACCE,1354
HYEL,HYUNELAN,0,0,0,1,HYUNELAN,1548
HYAK,HYUNACCE,1,1,0,1,HYUNACCE,125
VOPS,VOLKPASS,0,1,1,0,VOLKPASS,78
FOE2,FORDESC2,0,0,0,1,FORDESC2,367
KIFO,KIA FORT,1,1,0,1,KIA FORT,10697
KS74,KIA SO74,0,0,1,0,KIA SO74,4732
TOYB,TOYOCRLA,0,1,1,0,TOYOCRLA,3124
V60F,VOLVV60F,0,0,1,0,VOLVV60F,1704
HYEL,HYUNELAN,1,1,0,0,HYUNELAN,924
BRET,BUICREGT,1,0,0,1,BUICREGT,1962
MA5S,MAZD5SPT,1,1,1,0,MAZD5SPT,2302
KIOP,KIA OPTI,0,0,0,0,KIA OPTI,2135
CTWN,CHRYTOWN,0,0,0,1,CHRYTOWN,127
CHIM,CHEVIMPA,1,0,0,0,CHEVIMPA,3114
KISL,KIA SOUL,1,0,0,0,KIA SOUL,838
CHT4,CHEVTRA4,1,1,0,1,CHEVTRA4,598
FTRW,FORDTRAW,1,0,0,0,FORDTRAW,415
KIFO,KIA FORT,1,0,1,1,KIA FORT,1232
NIVS,NISSVRSA,1,0,0,1,NISSVRSA,786
KIFO,KIA FORT,1,0,0,1,KIA FORT,23204
CHIM,CHEVIMPA,1,0,0,0,CHEVIMPA,931
CHIP,CHEVIMPL,1,0,0,0,CHEVIMPL,2726
HYTN,HYUNTUC2,1,1,0,1,HYUNTUC2,8499
CHIM,CHEVIMPA,1,1,0,1,CHEVIMPA,427
CHTA,CHEVTAHO,0,1,1,0,CHEVTAHO,485
KIOP,KIA OPTI,1,0,1,1,KIA OPTI,1248
TOV2,TOYOVEN2,1,1,0,0,TOYOVEN2,2977
FFET,FORDFIES,0,1,1,0,FORDFIES,616
CHSU,CHEVROLET SUBURBAN 4WD,1,0,1,1,CHEVROLET SUBURBAN 4WD,1259
HYEL,HYUNELAN,0,0,0,0,HYUNELAN,1150
CHIM,CHEVIMPA,1,0,1,0,CHEVIMPA,726
NIVS,NISSVRSA,0,0,0,0,NISSVRSA,742
FOFN,FORDFUSI,0,1,1,1,FORDFUSI,1686
CXTF,CADIXTSF,0,0,0,1,CADIXTSF,2312
BREG,BUICREGL,0,0,1,0,BUICREGL,389
DOGC,DODGGRCA,1,0,1,0,DODGGRCA,3475
DOGC,DODGGRCA,0,0,1,0,DODGGRCA,506
CHCM,CHEVCAMA,1,1,1,0,CHEVCAMA,518
CHS5,CHEVSON5,0,1,0,1,CHEVSON5,1500
NIAL,NISSALTI,1,0,0,0,NISSALTI,1548
VWJE,VOLKJETT,0,1,1,0,VOLKJETT,1345
HYEL,HYUNELAN,1,1,1,1,HYUNELAN,429
KIFO,KIA FORT,0,0,1,1,KIA FORT,222
LIMZ,LINC MKZ,1,0,1,0,LINC MKZ,1101
QX6F,INFIQX6F,1,0,1,1,INFIQX6F,1756
DOJ2,DODGJOU2,1,0,0,1,DODGJOU2,437
HYSL,HYUNSONA,1,0,0,1,HYUNSONA,453
CTWN,CHRYTOWN,0,0,1,1,CHRYTOWN,3092
VO60,VOLVS60F,0,0,1,1,VOLVS60F,475
FTRW,FORDTRAW,0,0,1,1,FORDTRAW,620
MA3S,MAZD3SED,1,1,1,0,MAZD3SED,472
CCAT,CHEVCAPT,0,0,0,0,CHEVCAPT,133
KIFO,KIA FORT,1,1,1,1,KIA FORT,792
NIAL,NISSALTI,1,0,0,0,NISSALTI,1798
MILC,MITSLANC,1,0,0,0,MITSLANC,2014
FTRW,FORDTRAW,1,0,1,1,FORDTRAW,285
DOGC,DODGGRCA,1,1,1,0,DODGGRCA,1095
TOY5,TOYOYALI,0,1,0,0,TOYOYALI,1651
,CHEVTRAV,0,0,1,1,CHEVTRAV,2096
KIOP,KIA OPTI,1,1,1,1,KIA OPTI,2023
FTRW,FORDTRAW,0,0,0,0,FORDTRAW,2883
FMSN,FORDMUST,1,1,1,1,FORDMUST,1569
KS74,KIA SORENTO 4WD 7 PASS,0,0,1,1,KIA SORENTO 4WD 7 PASS,281
CCAT,CHEVROLET CAPTIVA,1,1,1,0,CHEVROLET CAPTIVA,758
BRET,BUICK REGAL TURBO,1,0,1,0,BUICK REGAL TURBO,1918
HYSL,HYUNDAI SONATA  4DR/5PSGR,0,0,0,0,HYUNDAI SONATA  4DR/5PSGR,556
FTRW,FORDTRAW,1,1,1,1,FORDTRAW,857
HYEL,HYUNELAN,1,1,1,0,HYUNELAN,28493
TOS4,TOYOSEQ4,1,1,1,1,TOYOSEQ4,2388
CTA2,CHEVTAH2,0,0,1,1,CHEVTAH2,391
HYAK,HYUNACCE,0,1,0,1,HYUNACCE,0
CHSU,CHEVSUBU,0,1,1,0,CHEVSUBU,1087
CHIP,CHEVIMPL,0,1,0,1,CHEVIMPL,1623
DOGC,DODGGRCA,0,0,1,1,DODGGRCA,1085
VOXF,VOLVXC6F,1,0,1,0,VOLVXC6F,454
TOYB,TOYOCRLA,0,1,1,1,TOYOCRLA,811
KISD,KIA SEDO,1,1,0,0,KIA SEDO,168
JEP2,JEEPPAT2,1,1,0,0,JEEPPAT2,3888
TOPH,TOYOPRIH,1,1,1,0,TOYOPRIH,243
CTWN,CHRYTOWN,1,1,0,1,CHRYTOWN,1052
KIOP,KIA OPTI,0,1,0,1,KIA OPTI,835
ME3R,MERCE350,0,0,1,0,MERCE350,5092
FOFN,FORDFUSI,1,1,1,0,FORDFUSI,373
HYSL,HYUNSONA,1,1,1,1,HYUNSONA,564
FOFN,FORDFUSI,0,1,0,0,FORDFUSI,13357
HYSL,HYUNDAI SONATA  4DR/5PSGR,0,1,0,1,HYUNDAI SONATA  4DR/5PSGR,7894
MA6I,MAZDA 6 SEDAN I TOURING,0,1,0,1,MAZDA 6 SEDAN I TOURING,37094
MGL4,MERCGL45,1,1,1,1,MERCGL45,4782
JEP2,JEEPPAT2,1,0,1,1,JEEPPAT2,5831
NIAL,NISSALTI,0,0,0,0,NISSALTI,388
TOYB,TOYOCRLA,0,0,1,1,TOYOCRLA,580
DOD2,DODGDUR2,0,0,1,0,DODGDUR2,168
DOGC,DODGGRCA,1,1,0,0,DODGGRCA,648
DOGC,DODGGRCA,1,1,0,0,DODGGRCA,5024
TOYB,TOYOCRLA,1,1,0,0,TOYOCRLA,424
CHTA,CHEVTAHO,1,1,0,0,CHEVTAHO,702
CMRY,TOYOCAMR,0,1,1,0,TOYOCAMR,206
FFET,FORDFIES,0,1,1,1,FORDFIES,2888
TSIE,TOYOSIEN,0,0,0,1,TOYOSIEN,1218
CHCZ,CHEVCRUZ,0,1,0,0,CHEVCRUZ,337
MA3S,MAZD3SED,1,1,0,1,MAZD3SED,689
CHSU,CHEVSUBU,1,0,1,0,CHEVSUBU,3934
NIVH,NISSVRHA,1,0,0,0,NISSVRHA,402
MA3S,MAZD3SED,0,0,0,1,MAZD3SED,366
FFET,FORDFIES,1,0,1,0,FORDFIES,564
DOGC,DODGGRCA,1,0,0,0,DODGGRCA,3455
FOE2,FORDESC2,1,0,0,0,FORDESC2,5706
TOYB,TOYOCRLA,0,0,0,0,TOYOCRLA,1250
KIOP,KIA OPTI,1,1,1,1,KIA OPTI,1088
FTRW,FORDTRAW,0,1,0,0,FORDTRAW,1755
HYAK,HYUNACCE,1,1,0,1,HYUNACCE,1519
VWJE,VOLKJETT,1,1,0,1,VOLKJETT,761
TOYB,TOYOCRLA,1,1,0,1,TOYOCRLA,410
LIMZ,LINC MKZ,1,1,1,1,LINC MKZ,1429
KIOP,KIA OPTI,0,0,1,1,KIA OPTI,2487
CCAT,CHEVCAPT,0,0,1,0,CHEVCAPT,637
CCAT,CHEVCAPT,1,1,0,1,CHEVCAPT,1878
KS72,KIA SO7F,0,1,0,0,KIA SO7F,903
XJCO,JEEPCOMP,0,1,0,1,JEEPCOMP,2054
FOFN,FORDFUSI,0,0,1,0,FORDFUSI,1397
BW3I,BMW328IX,1,1,1,1,BMW328IX,569
NIAL,NISSALTI,1,0,0,1,NISSALTI,1111
HYEL,HYUNELAN,0,0,1,0,HYUNELAN,882
NIVH,NISSVRHA,1,1,0,1,NISSVRHA,8341
CCAT,CHEVCAPT,1,1,0,0,CHEVCAPT,11792
FTA2,FORDTAU2,0,0,0,0,FORDTAU2,2324
CHIM,CHEVIMPA,1,0,1,1,CHEVIMPA,1252
CHMA,CHEVMALI,0,1,0,1,CHEVMALI,1422
CHIM,CHEVIMPA,1,1,0,0,CHEVIMPA,378
KIFO,KIA FORT,0,1,1,1,KIA FORT,414
FEX2,FORDEXL2,0,0,0,1,FORDEXL2,697
FOFN,FORDFUSI,0,1,1,0,FORDFUSI,1059
DOGC,DODGGRCA,0,1,0,1,DODGGRCA,1248
FEX2,FORDEXL2,0,1,1,1,FORDEXL2,2637
CTWN,CHRYTOWN,1,1,0,0,CHRYTOWN,304
CTWN,CHRYTOWN,1,1,1,1,CHRYTOWN,760
FOEP,FORDESCA,1,1,1,0,FORDESCA,401
HYSL,HYUNDAI SONATA  4DR/5PSGR,1,0,0,0,HYUNDAI SONATA  4DR/5PSGR,851
KIFO,KIA FORT,1,1,0,1,KIA FORT,648
FEXP,FORDEXPL,1,1,0,0,FORDEXPL,2250
FOFN,FORDFUSI,0,1,0,1,FORDFUSI,801
CTWN,CHRYSLER TOWN AND COUNTRY,1,0,0,1,CHRYSLER TOWN AND COUNTRY,896
FOL2,FORDEL2W,0,0,0,0,FORDEL2W,1378
MIMI,MITSMIRA,1,1,1,1,MITSMIRA,61565
FEXP,FORDEXPL,0,1,0,0,FORDEXPL,325
FOFN,FORDFUSI,1,0,1,1,FORDFUSI,2358
NIAL,NISSALTI,1,1,0,1,NISSALTI,1915
TSIE,TOYOSIEN,1,1,0,0,TOYOSIEN,303
KIOP,KIA OPTI,0,0,0,1,KIA OPTI,951
NIAL,NISSALTI,1,1,1,0,NISSALTI,4198
MA3S,MAZD3SED,0,1,0,1,MAZD3SED,691
LIMZ,LINC MKZ,0,0,1,1,LINC MKZ,906
CX5F,MAZDCX5F,0,1,1,1,MAZDCX5F,2439
FEX2,FORD EXPLORER 2WD,1,0,0,0,FORD EXPLORER 2WD,576
CTWN,CHRYTOWN,1,0,0,1,CHRYTOWN,512
VWJE,VOLKJETT,1,1,0,0,VOLKJETT,1790
SUIW,SUBAIMPW,1,1,0,0,SUBAIMPW,1219
KIFO,KIA FORT,0,0,0,1,KIA FORT,1122
CCAT,CHEVCAPT,1,1,1,0,CHEVCAPT,2160
VG2F,VOLKGOLF,1,1,0,1,VOLKGOLF,420
HYSL,HYUNSONA,0,1,0,0,HYUNSONA,1171
BRET,BUICREGT,0,1,0,0,BUICREGT,1991
FOE2,FORDESC2,1,1,0,1,FORDESC2,1041
HYEL,HYUNELAN,1,1,0,0,HYUNELAN,679
KIFO,KIA FORT,0,1,0,1,KIA FORT,1142
NIAL,NISSALTI,1,0,0,1,NISSALTI,1229
CHIP,CHEVIMPL,0,1,1,1,CHEVIMPL,1126
KISD,KIA SEDO,0,0,1,1,KIA SEDO,256
FOFN,FORDFUSI,1,0,0,0,FORDFUSI,2506
FOFN,FORDFUSI,0,0,0,0,FORDFUSI,441
KIFO,KIA FORT,0,0,0,0,KIA FORT,1852
HYSH,HYUNSONH,0,1,0,1,HYUNSONH,1168
FTA2,FORDTAU2,1,1,0,1,FORDTAU2,1142
FOXL,FORDEXL4,0,1,1,1,FORDEXL4,232
CHIM,CHEVIMPA,0,0,1,1,CHEVIMPA,768
JEP2,JEEPPAT2,0,1,0,0,JEEPPAT2,1650
HYEL,HYUNELAN,1,1,0,0,HYUNELAN,1179
FFET,FORDFIES,0,1,1,1,FORDFIES,384
FTRW,FORDTRAW,0,1,0,1,FORDTRAW,2453
NIAL,NISSALTI,0,1,1,0,NISSALTI,352
CX5F,MAZDCX5F,1,1,0,0,MAZDCX5F,1471
BREG,BUICREGL,1,0,0,1,BUICREGL,1045
NIAL,NISSALTI,0,0,1,0,NISSALTI,1641
KIFO,KIA FORT,1,1,0,0,KIA FORT,2717
KISL,KIA SOUL,0,0,0,0,KIA SOUL,1011
F150,FORDF150,0,0,1,1,FORDF150,377
KS74,KIA SO74,1,0,0,0,KIA SO74,682
CHTV,CHEVTRAV,1,0,0,1,CHEVTRAV,487
VWJE,VOLKJETT,0,0,0,0,VOLKJETT,589
KISL,KIA SOUL,1,0,1,1,KIA SOUL,1605
HYEL,HYUNELAN,0,0,0,0,HYUNELAN,1445
CHE2,CHEVROLET EQUINOX 2WD,1,0,1,0,CHEVROLET EQUINOX 2WD,533
KS74,KIA SO74,0,1,0,0,KIA SO74,433
FEXP,FORDEXPL,0,0,0,1,FORDEXPL,2904
LIMX,LINC MKX,1,0,0,0,LINC MKX,478
CHIP,CHEVIMPL,0,1,0,0,CHEVIMPL,8659
LIMZ,LINC MKZ,1,1,0,0,LINC MKZ,3397
KIOP,KIA OPTI,0,1,0,1,KIA OPTI,591
MA3S,MAZD3SED,0,1,0,1,MAZD3SED,2967
FOFN,FORDFUSI,0,0,0,1,FORDFUSI,2499
CTWN,CHRYTOWN,0,0,0,0,CHRYTOWN,807
MGL4,MERCGL45,1,0,1,0,MERCGL45,8125
CTWN,CHRYTOWN,1,1,0,0,CHRYTOWN,7392
KIOP,KIA OPTIMA,1,0,1,0,KIA OPTIMA,9437
HYTN,HYUNTUC2,0,1,0,1,HYUNTUC2,7242
TOR4,TOYORAV4,1,1,0,1,TOYORAV4,5266
TOYB,TOYOCRLA,0,1,1,1,TOYOCRLA,8109
CATR,CADILLAC ATS RWD,1,0,0,0,CADILLAC ATS RWD,597
FOFN,FORDFUSI,0,1,0,1,FORDFUSI,1485
CHSU,CHEVSUBU,0,0,1,1,CHEVSUBU,811
CHCZ,CHEVCRUZ,0,0,0,1,CHEVCRUZ,244
CHIM,CHEVIMPA,1,1,0,1,CHEVIMPA,227
VWJE,VOLKJETT,1,1,0,0,VOLKJETT,148
FOFN,FORDFUSI,1,1,1,0,FORDFUSI,452
DOGC,DODGGRCA,1,0,1,0,DODGGRCA,435
NIAL,NISSALTI,1,1,0,1,NISSALTI,208
HYEL,HYUNELAN,0,1,1,1,HYUNELAN,1094
CTWN,CHRYTOWN,1,1,0,0,CHRYTOWN,1563
HYA6,HYUNSANT,0,0,0,1,HYUNSANT,1460
KIOP,KIA OPTI,0,1,1,0,KIA OPTI,815
KS74,KIA SO74,1,0,0,1,KIA SO74,2587
FTA2,FORDTAU2,0,1,0,0,FORDTAU2,768
KISL,KIA SOUL,1,0,0,0,KIA SOUL,858
DOJ2,DODGJOU2,1,0,0,0,DODGJOU2,908
HYSL,HYUNSONA,1,1,1,0,HYUNSONA,1536
FOFN,FORDFUSI,1,1,0,0,FORDFUSI,1315
VG2F,VOLKGOLF,0,1,1,0,VOLKGOLF,374
DOGC,DODGGRCA,1,0,0,0,DODGGRCA,984
KIOP,KIA OPTI,1,1,0,1,KIA OPTI,809
CTWN,CHRYTOWN,1,0,0,0,CHRYTOWN,604
HYSL,HYUNSONA,0,0,1,0,HYUNSONA,1298
CTWN,CHRYTOWN,0,1,0,0,CHRYTOWN,166
FFE5,FORDFIE5,1,0,0,0,FORDFIE5,1634
DOGC,DODGGRCA,0,1,0,0,DODGGRCA,867
KIFO,KIA FORT,0,1,1,0,KIA FORT,573
FEXP,FORDEXPL,0,0,0,0,FORDEXPL,903
HYTN,HYUNTUC2,1,0,0,1,HYUNTUC2,1622
KIRO,KIA RIO,0,0,1,1,KIA RIO,2648
VWJE,VOLKJETT,1,0,1,0,VOLKJETT,564
,NISSALTI,0,0,1,0,NISSALTI,1974
CHIP,CHEVROLET IMPALA,1,1,0,0,CHEVROLET IMPALA,459
CATR,CADIATSR,0,0,1,0,CADIATSR,930
CHS5,CHEVSON5,1,1,1,1,CHEVSON5,444
JEP2,JEEPPAT2,1,1,0,1,JEEPPAT2,1997
CTWN,CHRYTOWN,1,1,0,1,CHRYTOWN,0
TOYB,TOYOCRLA,0,0,1,0,TOYOCRLA,148
FFET,FORDFIES,1,0,1,0,FORDFIES,714
NIAL,NISSALTI,0,0,0,0,NISSALTI,1351
KS74,KIA SO74,1,1,1,1,KIA SO74,1338
DRQ4,DODGQUA4,0,0,1,0,DODGQUA4,533
ME3R,MERCE350,0,1,0,0,MERCE350,472
KISL,KIA SOUL,0,1,0,1,KIA SOUL,392
DOGC,DODGGRCA,0,1,1,1,DODGGRCA,928
DOGC,DODGGRCA,0,1,1,0,DODGGRCA,526
CHTV,CHEVTRAV,1,1,0,0,CHEVTRAV,7141
CX5F,MAZDCX5F,1,0,0,0,MAZDCX5F,411
FEX2,FORD EXPLORER 2WD,0,1,0,0,FORD EXPLORER 2WD,2669
CHTV,CHEVTRAV,0,1,1,0,CHEVTRAV,1335
VG2F,VOLKGOLF,0,1,0,0,VOLKGOLF,3737
CHCT,CHEVCORC,0,0,1,0,CHEVCORC,1138
HYEL,HYUNELAN,0,1,0,1,HYUNELAN,509
CTWN,CHRYTOWN,1,1,0,0,CHRYTOWN,0
LIMZ,LINC MKZ,1,0,1,0,LINC MKZ,80
KISL,KIA SOUL,1,1,1,0,KIA SOUL,849
HYEL,HYUNELAN,0,1,1,0,HYUNELAN,1467
CHIM,CHEVIMPA,1,1,0,0,CHEVIMPA,302
CHCM,CHEVCAMA,1,1,1,0,CHEVCAMA,1268
CMRY,TOYOCAMR,1,1,1,0,TOYOCAMR,1959
MA3S,MAZD3SED,1,1,1,1,MAZD3SED,808
KIOP,KIA OPTI,1,0,0,0,KIA OPTI,508
MA6I,MAZD6SED,1,0,0,1,MAZD6SED,7147
NIAL,NISSALTI,0,0,0,0,NISSALTI,235
DOJ2,DODGJOU2,1,0,1,0,DODGJOU2,1116
HYEL,HYUNELAN,1,1,1,1,HYUNELAN,128
BRET,BUICREGT,0,1,1,0,BUICREGT,237
CMRY,TOYOCAMR,0,1,1,1,TOYOCAMR,430
CHCM,CHEVCAMA,0,1,1,0,CHEVCAMA,1194
DOD2,DODGDUR2,0,0,1,1,DODGDUR2,836
CMRY,TOYOCAMR,1,0,1,0,TOYOCAMR,374
TOPH,TOYOPRIH,1,0,0,0,TOYOPRIH,538
FOFN,FORDFUSI,0,0,1,1,FORDFUSI,317
VO60,VOLVS60F,1,0,0,0,VOLVS60F,1063
CHCZ,CHEVCRUZ,1,0,0,0,CHEVCRUZ,4755
KIOP,KIA OPTIMA,1,1,1,1,KIA OPTIMA,1307
KS74,KIA SO74,1,0,1,1,KIA SO74,270
KIFO,KIA FORT,0,0,1,0,KIA FORT,1200
HYSL,HYUNSONA,0,1,1,0,HYUNSONA,1950
KISL,KIA SOUL,0,0,1,0,KIA SOUL,1134
MA3S,MAZD3SED,1,1,1,1,MAZD3SED,446
XCMA,CHEVMALI,0,0,0,1,CHEVMALI,1517
FTRW,FORDTRAW,0,1,0,0,FORDTRAW,1053
HYSL,HYUNSONA,1,1,1,1,HYUNSONA,938
XVGL,VOLKGOLF,1,0,0,1,VOLKGOLF,615
XDJO,DODGJOUR,0,0,1,0,DODGJOUR,947
XDGC,DODGGRCA,1,1,1,1,DODGGRCA,4195
CHIM,CHEVIMPA,0,0,1,0,CHEVIMPA,4386
F156,FORDF152,1,1,0,1,FORDF152,0
CHIP,CHEVIMPL,0,1,0,1,CHEVIMPL,19967
,CHEVTAHO,0,0,0,0,CHEVTAHO,2851
MA3S,MAZD3SED,0,1,1,1,MAZD3SED,2044
X20C,CHRY200C,0,1,1,0,CHRY200C,11765
XDGC,DODGGRCA,1,0,1,0,DODGGRCA,12594
BRET,BUICREGT,1,0,0,1,BUICREGT,830
HYEL,HYUNDAI ELANTRA SEDAN 4DR,1,0,0,1,HYUNDAI ELANTRA SEDAN 4DR,2988
FTA2,FORDTAU2,1,1,1,0,FORDTAU2,652
DOGC,DODGE GRAND CARAVAN,0,1,1,0,DODGE GRAND CARAVAN,571
KIOP,KIA OPTI,0,1,1,1,KIA OPTI,745
KIFO,KIA FORT,1,1,1,0,KIA FORT,317
NIAL,NISSAN ALTIMA SEDAN,0,1,1,0,NISSAN ALTIMA SEDAN,11573
HYAK,HYUNACCE,1,1,0,0,HYUNACCE,1092
JKEE,JEEPGRCH,0,1,0,0,JEEPGRCH,7292
CHIM,CHEVIMPA,0,0,1,0,CHEVIMPA,0
FOEP,FORDESCA,1,0,1,1,FORDESCA,14499
HYEL,HYUNELAN,0,0,1,0,HYUNELAN,5286
VWJE,VOLKJETT,0,0,1,1,VOLKJETT,1007
FOFN,FORDFUSI,1,1,1,1,FORDFUSI,2320
FOFN,FORDFUSI,0,1,1,1,FORDFUSI,7310
MA3S,MAZD3SED,1,0,0,1,MAZD3SED,435
JKEE,JEEPGRCH,0,0,1,1,JEEPGRCH,4099
CTWN,CHRYTOWN,0,0,0,0,CHRYTOWN,2464
CMRY,TOYOCAMR,0,0,1,0,TOYOCAMR,2688
CHIP,CHEVIMPL,1,1,0,1,CHEVIMPL,1291
CHTA,CHEVTAHO,0,0,1,1,CHEVTAHO,1347
FTA2,FORDTAU2,1,1,1,1,FORDTAU2,2235
FEXP,FORDEXPL,0,1,0,0,FORDEXPL,471
SUIW,SUBAIMPW,0,1,1,1,SUBAIMPW,461
KIFO,KIA FORT,0,1,1,0,KIA FORT,318
DOGC,DODGGRCA,1,0,1,0,DODGGRCA,2099
FTA2,FORDTAU2,1,0,0,0,FORDTAU2,680
HYSL,HYUNSONA,0,0,1,1,HYUNSONA,388
CHCM,CHEVCAMA,1,0,0,0,CHEVCAMA,662
GMT2,GMC TER2,0,0,1,0,GMC TER2,602
TOSQ,TOYOSEQU,0,0,0,1,TOYOSEQU,249
HYEL,HYUNELAN,0,0,0,1,HYUNELAN,1274
FI5C,FIAT500C,1,0,1,1,FIAT500C,2622
JCHF,JEEPCHEF,1,0,0,0,JEEPCHEF,234
CHCZ,CHEVCRUZ,1,0,1,0,CHEVCRUZ,1902
FTRW,FORDTRAW,0,1,0,0,FORDTRAW,1811
HYEL,HYUNELAN,1,0,1,0,HYUNELAN,1524
CTA2,CHEVTAH2,0,1,1,1,CHEVTAH2,878
DOJ2,DODGJOU2,0,1,0,0,DODGJOU2,876
CATR,CADILLAC ATS RWD,1,0,1,0,CADILLAC ATS RWD,78
FEXP,FORDEXPL,0,1,0,0,FORDEXPL,1793
FOXL,FORDEXL4,1,1,0,1,FORDEXL4,718
FEXP,FORDEXPL,1,1,0,1,FORDEXPL,227
FOXL,FORDEXL4,1,1,1,1,FORDEXL4,1821
FTA2,FORDTAU2,0,0,0,1,FORDTAU2,826
TOYB,TOYOCRLA,0,0,0,0,TOYOCRLA,1058
KIOP,KIA OPTI,1,0,1,0,KIA OPTI,488
HYSL,HYUNSONA,0,1,1,0,HYUNSONA,741
LIMZ,LINC MKZ,1,1,1,0,LINC MKZ,1188
KIOP,KIA OPTI,1,1,0,0,KIA OPTI,530
BX5R,BMW X5RW,1,1,1,1,BMW X5RW,153
TOR4,TOYORAV4,0,0,0,0,TOYORAV4,3957
NIAL,NISSALTI,1,0,1,1,NISSALTI,194
CX5F,MAZDCX5F,0,1,0,0,MAZDCX5F,2888
CHIM,CHEVIMPA,1,1,1,0,CHEVIMPA,4245
FTRW,FORDTRAW,1,1,1,1,FORDTRAW,391
CX5A,MAZDCX5A,0,1,1,1,MAZDCX5A,786
JKEE,JEEPGRCH,1,1,1,0,JEEPGRCH,747
CTWN,CHRYTOWN,0,0,0,1,CHRYTOWN,2049
MA3S,MAZD3SED,1,1,1,0,MAZD3SED,383
HYAK,HYUNACCE,1,0,0,0,HYUNACCE,12813
HYAZ,HYUNAZER,0,0,0,0,HYUNAZER,1004
FEX2,FORDEXL2,0,1,0,0,FORDEXL2,333
NIAL,NISSALTI,1,0,1,0,NISSALTI,643
MA6I,MAZD6SED,0,1,0,0,MAZD6SED,3321
NIAL,NISSALTI,0,1,1,0,NISSALTI,1572
VOPS,VOLKPASS,0,1,1,1,VOLKPASS,1498
SUIW,SUBAIMPW,1,1,1,0,SUBAIMPW,1286
TSIE,TOYOSIEN,0,0,1,1,TOYOSIEN,1113
CHCZ,CHEVCRUZ,0,0,1,0,CHEVCRUZ,481
FFET,FORDFIES,0,0,1,1,FORDFIES,838
CTWN,CHRYTOWN,1,0,1,0,CHRYTOWN,777
CTWN,CHRYTOWN,0,1,1,1,CHRYTOWN,1816
CATR,CADILLAC ATS RWD,1,1,1,1,CADILLAC ATS RWD,676
KIFO,KIA FORT,1,0,0,1,KIA FORT,4742
CTWN,CHRYTOWN,0,1,0,0,CHRYTOWN,1217
FFET,FORDFIES,0,1,1,1,FORDFIES,437
HYEL,HYUNDAI ELANTRA SEDAN 4DR,0,1,1,1,HYUNDAI ELANTRA SEDAN 4DR,735
FOXL,FORDEXL4,1,1,1,0,FORDEXL4,552
SUXC,SUBAXVCR,0,0,1,0,SUBAXVCR,1834
CTWN,CHRYTOWN,1,0,0,0,CHRYTOWN,839
MA6I,MAZD6SED,1,0,0,1,MAZD6SED,438
CHTV,CHEVTRAV,1,0,1,1,CHEVTRAV,171
FFE5,FORDFIE5,0,1,0,1,FORDFIE5,2858
FOE2,FORDESC2,1,1,1,0,FORDESC2,1239
DOGC,DODGGRCA,1,0,1,1,DODGGRCA,345
FMUC,FORDMUSC,0,0,0,1,FORDMUSC,993
BREG,BUICREGL,0,0,0,0,BUICREGL,1006
FFET,FORDFIES,1,0,1,0,FORDFIES,564
JEPA,JEEPPATR,0,1,0,1,JEEPPATR,411
MA5S,MAZD5SPT,0,0,0,0,MAZD5SPT,370
NIAL,NISSALTI,1,0,1,0,NISSALTI,504
CHSS,SS CONVERTIBLE CHEVY CAMARO,1,0,1,0,SS CONVERTIBLE CHEVY CAMARO,203
TOR4,TOYORAV4,1,0,1,1,TOYORAV4,503
KIFO,KIA FORT,1,0,1,0,KIA FORT,1356
TOPH,TOYOPRIH,0,1,0,1,TOYOPRIH,1145
KIOP,KIA OPTIMA,1,0,1,0,KIA OPTIMA,1585
VWBE,VOLKBEET,0,1,0,1,VOLKBEET,1230
BUEN,BUICENCL,1,1,0,1,BUICENCL,474
KISD,KIA SEDO,0,0,1,1,KIA SEDO,1524
CHTA,CHEVTAHO,1,0,1,0,CHEVTAHO,1151
